Persecution at School	Sukuu Ɔtae
What prompts road rage ?	Dɛn na ɛde karka mu abufufa ba ?
Cause and Effect	Nea Ɛma no Ba ne Nea Efi mu Ba
If so , what can you do ?	Sɛ saa a , dɛn na wubetumi ayɛ ?
Avoid Provoking Road Rage	Nkanyan Karka mu Abufufa
Think ahead .	Di kan susuw nneɛma ho .
Are You a Victim ?	So Wɔafa Wo Ho Abufuw Pɛn ?
Controlling Road Rage	Karka mu Abufufa a Wodi So
How is that possible ?	Ɛbɛyɛ dɛn na eyi atumi aba ?
When Trying to Help	Bere a Wobɔ Mmɔden sɛ Wobɛboa
*	*
Easing Their Burden	Wɔn Adesoa a Yɛbɛma Ayɛ Hare
Our Creator Understands	Yɛn Bɔfo no Te Wɔn Ase
[ Footnotes ]	[ Ase hɔ asɛm ]
[ Picture on page 25 ]	
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
[ Picture on page 27 ]	[ Kratafa 17 mfonini ]
Page Two	Kratafa Abien
3 - 12	3 - 12
13	25
Who are they ?	Wɔne henanom ?
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Punch	Punch
Child - Custody Options	Abofra Sohwɛ Ho Akwan Foforo
( Italics ours . )	( Yɛn na yɛasi ɔfã bi so dua no . )
It refused his request .	Ampene n’abisade no so .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
[ Box on page 6 ]	[ Kratafa 6 adaka ]
Three Important Qualities	Su Atitiriw Abiɛsa
[ Box on page 6 ]	[ Kratafa 6 adaka ]
Judicial Guidelines	Atemmu Ho Akwankyerɛ Ahorow
For example :	Sɛ nhwɛso no :
Reasonableness	Ntease
Joint Custody	Awofo Baanu a Wɔhwɛ Abofra So
Sole Custody	Ɔwofo Biako a Ɔhwɛ Abofra So
Visitation Privileges	Nsrahwɛ Hokwan Ahorow
You Are Never Alone	Ɛnkaa Wo Nko Ɛ
Others Can Help	Afoforo Betumi Aboa
[ Box on page 11 ]	[ Kratafa 11 adaka ]
* — Proverbs 13 : 18 .	* — Mmebusɛm 13 : 18 .
* — Proverbs 13 : 20 .	* — Mmebusɛm 13 : 20 .
[ Footnotes ]	[ Ase hɔ asɛm ]
[ Picture on page 10 ]	[ Kratafa 10 mfonini ]
The Bible’s Viewpoint	Bible no Adwene
Historian Jerry Z .	Abakɔsɛm kyerɛwfo Jerry Z .
Is this really true ?	So eyi yɛ nokware ankasa ?
God’s View	Onyankopɔn Adwene
“ Hate What Is Bad ”	“ Munkyi Bɔne ”
We cannot read hearts .	Yentumi nhu komam .
“ God Is Not Partial ”	‘ Onyankopɔn Nyɛ Nyiyim ’
“ God is not partial . ”	‘ Onyankopɔn nyɛ nyiyim . ’
[ Footnote ]	[ Ase hɔ asɛm ]
[ Blurb on page 14 ]	[ Asɛm a wɔafa aka wɔ kratafa 14 ]
Punch	Punch
Watching the World	Wiase Nsɛm
Why ?	Dɛn ntia ?
“ Mob Rule ”	“ Basabasayɛfo Tumidi ”
TB Plagues India	TB Rehaw India
A Good Rat ?	Okisi Pa ?
Reavis .	Ɔyɛ okisi kɛkɛ . ”
BY AWAKE !	EFI NYAN !
Subject of Research	Wɔn Ho Nhwehwɛmu a Yɛyɛ
Where do they live ?	Ɛhe na wɔte ?
The First Visit	Nsrahwɛ a Edi Kan
Famine is unknown here .	Ɔkɔm nni ha .
Religion	Wɔn Nyamesom
An Intelligent People	Nnipa a Wonim Nyansa
[ Footnote ]	[ Ase hɔ asɛm ]
[ Pictures on page 23 ]	[ Kratafa 17 mfonini ahorow ]
Page Two	Kratafa Abien
10	10
Consider :	Susuw ho hwɛ :
Triumph and Tragedy	Nkonimdi ne Awerɛhosɛm
R .	F .
Bignall , 1982 .	Bignall , 1982 .
At Last , a Cure !	Wonya Ano Aduru Afei !
TB was history .	Ná TB abɛyɛ ɔhaw a atwam .
A Deadly Comeback	Asan Aba a Ɛredi Awu
Why the Deadly Comeback ?	Dɛn Nti na Asan Aba a Ɛredi Awu Saa ?
Why ?	Dɛn ntia ?
Multidrug - Resistant TB	TB a Nnuru Pii Ntumi No
Prevention and Cure	Ano Siw ne Ne Sa
Why not ?	Dɛn ntia ?
[ Box on page 5 ]	[ Kratafa 5 adaka ]
TB Fact Sheet	TB Ho Nokwasɛm Bi
[ Box on page 6 ]	[ Kratafa 6 adaka ]
TB and Fashion	TB Ho Anigye a Wɔkyerɛ
[ Box on page 7 ]	[ Kratafa 19 adaka ]
Is It Easy to Catch TB ?	So Ɛyɛ Mmerɛw sɛ Obi Benya TB ?
We are all at risk . ”	Yɛn nyinaa da asiane mu . ”
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
The Conquest to Come	Ayaresa a Ɛreba
Does he have compassion ?	So ɔwɔ ayamhyehye ?
[ Picture on page 8 , 9 ]	[ Mfonini wɔ kratafa 8 , 9 ]
Act Enthusiastic	Da Anigye Adi
The result ?	Dɛn na efi mu bae ?
Do Your Best	Yɛ Nea Wubetumi Biara
Strive to do better .	Bɔ mmɔden nya nkɔanim .
“ Decorate ” Your Job	“ Siesie ” W’adwuma
Doctors Dennis T .	Abenfo Dennis T .
Jaffe and Cynthia D .	Jaffe ne Cynthia D .
There is no personality .	Wunhu obiara ho biribi wom .
Keep Learning	Kɔ So Sua Ade
Some Final Suggestions	Nyansahyɛ Ahorow Bi a Etwa To
But it may not be true .	Nanso ebia na ɛnyɛ nokware .
Why ?	Dɛn ntia ?
Do Not Neglect Your Work	Ntoto W’adwuma Ase
What does that mean ?	Eyi kyerɛ dɛn ?
What of today ?	Ɛnnɛ nso ɛ ?
The Bible’s Viewpoint	Bible no Adwene
Why fear a God of love ?	Dɛn nti na ɛsɛ sɛ yesuro ɔdɔ Nyankopɔn no ?
A Forgiving God	Onyankopɔn a Ɔde Bɔne Firi
We are all imperfect .	Yɛn nyinaa nyɛ pɛ .
Fearing God’s Judgment	Onyankopɔn Atemmu a Yebesuro
[ Footnote ]	[ Ase hɔ asɛm ]
Watching the World	Wiase Nsɛm
Alcoholism in Mexico	Asadweam Wɔ Mexico
Tips for Air Travelers	Akwankyerɛ Ahorow Ma Wimhyɛn Mu Akwantufo
Tokyo’s Commuting Crows	Tokyo Kwaakwaadabi a Wodi Akɔneaba
Natural Wealth Threatened	Asase ne Ɛso Nneɛma Wɔ Asiane Mu
Southern Summer Risk	Kesee Fam Ahohuru Bere Mu Asiane
“ Torture ” at Work	Adwumam “ Ayayade ”
Winter Warning	Awɔw Bere Mu Kɔkɔbɔ
“ The Awake !	“ Nyan !
Saved My Life ”	na Egyee Me Nkwa ”
Awake !	O .
The Pain of Letting Go	Mmofra a Wofi Wɔn Awofo Nkyɛn Ho Yawdi
What about you ?	Na wo nso ɛ ?
Are you a parent ?	Woyɛ ɔwofo ?
Learning to Let Go	Sua a Wubesua sɛ Wobɛma Wo Mma Afi Wo Nkyɛn
Loving Correction	Nteɛso a Efi Ɔdɔ Mu
Allow for mistakes .	Bu w’ani gu mfomso ahorow so .
Assure him of your love .	Ma onnya awerɛhyem sɛ wodɔ no .
Education for Life	Nhomasua a Wɔde Tra Ase
*	*
[ Footnotes ]	[ Ase hɔ asɛm ]
[ Blurb on page 6 ]	[ Asɛm a wɔafa aka wɔ kratafa 6 ]
[ Box on page 6 ]	[ Kratafa 6 adaka ]
[ Footnote ]	[ Ase hɔ asɛm ]
[ Pictures on page 7 ]	[ Kratafa 7 mfonini ahorow ]
[ Pictures on page 8 ]	[ Kratafa 8 mfonini ahorow ]
This couple’s advice ?	Awarefo yi afotu ne dɛn ?
Yes , life goes on .	Yiw , asetra kɔ so ara .
Focus on the Positive	Fa W’adwene Si Nneɛma Pa So
Still a Parent !	Woda So Ara Yɛ Ɔwofo !
Avoid Meddling	Mfa Wo Ho Nhyehyɛ Wɔn Nsɛm Mu
Awake !	O .
*	*
Renew Marital Bonds	Monyɛ Mo Aware no Foforo
Single Parents Letting Go	Awofo a Wonni Ahokafo a Wɔbɛma Wɔn Mma Afi Wɔn Nkyɛn
Happily Letting Go	Gya Wɔn Kwan Anigye So
Love never fails . ”	Ɔdɔ to ntwa da . ”
[ Footnote ]	[ Ase hɔ asɛm ]
[ Blurb on page 12 ]	[ Asɛm a wɔafa aka wɔ kratafa 12 ]
As told by Sven Sievers	Sɛnea Sven Sievers ka kyerɛe
*	*
How Others Can Help	Sɛnea Afoforo Betumi Aboa
magazines .	nsɛmma nhoma no brɛ me .
[ Footnotes ]	[ Ase hɔ asɛm ]
[ Picture on page 15 ]	[ Kratafa 15 mfonini ]
With my wife , Tracy	Me ne me yere Tracy
By Awake !	Efi Nyan !
correspondent in Tanzania	kyerɛwfo a ɔwɔ Tanzania hɔ
“ Remember !	Kae !
“ Sh !	Bere a wɔte nteɛm kɛse te sɛ akaatia su no , obi yɛ “ Sh !
Sh ! ”	Sh !
“ What was that ?	Dɛn ne no ?
A gorilla ? ”	Akaatia anaa ? ”
We must be very close !	Ɛbɛyɛ sɛ yɛabɛn wɔn pɛɛ !
Please don’t cry out .	Yɛsrɛ sɛ monnteɛteɛm .
[ Maps on page 18 ]	[ Asase mfonini ahorow a ɛwɔ kratafa 18 ]
Lake Kivu	Ɔtare Kivu
UGANDA	UGANDA
RWANDA	RWANDA
AFRICA	AFRIKA
Area Enlarged	Beae a Wɔatrɛw Mu No
Young People Ask . . .	Mmofra Bisa Sɛ . . .
What should you do ?	Dɛn na ɛsɛ sɛ woyɛ ?
*	*
How Young Is Too Young ?	Mfe Ahe na Obi Di a na Osua Koraa sɛ Ɔbɛware ?
Why ?	Dɛn ntia ?
Why so ?	Dɛn nti na ɛte saa ?
Why ?	Dɛn ntia ?
Seeking Peace	Asomdwoe a Wɔhwehwɛ
*	*
Be willing to listen .	Nya ɔpɛ sɛ wubetie wɔn .
[ Footnotes ]	[ Ase hɔ asɛm ]
[ Picture on page 21 ]	[ Kratafa 17 mfonini ]
The Versatile Chitenge	Chitenge A Wɔde Yɛ Nneɛma Pii
BY AWAKE !	EFI NYAN !
CORRESPONDENT IN NAMIBIA	KYERƐWFO A ƆWƆ NAMIBIA HƆ
[ Pictures on page 23 ]	[ Kratafa 17 mfonini ahorow ]
Page Two	Kratafa Abien
Coping With Stroke 3 - 12	Yare a Ɛma Nnipa Fã Dwudwo Ano a Wobegyina 3 - 12
What causes stroke ?	Dɛn na ɛde yare a ɛma nnipa fã dwudwo ba ?
13	25
Stroke !	Yare A Ɛma Nnipa Fã Dwudwo !
Consider Ellen Morgan .	Susuw Ellen Morgan ho hwɛ .
What causes a stroke ?	Dɛn na ɛma obi fã dwudwo ?
Awake !	O .
[ Footnote ]	[ Ase hɔ asɛm ]
Stroke — Its Cause	Yare A Ɛma Nnipa Fã Dwudwo Nea Ɛde Ba
The result is a stroke .	Nea ɛde ba ne yare a ɛma nnipa fã dwudwo .
Its Effects	Nea Ɛde Ba
Communication Problems	Nkitahodi Mu Nsɛnnennen
Their families also do .	Wɔn mmusua nso ka ho .
Neuropsychologist Dr .	Amemene ho nimdefo , Oduruyɛfo Ronald Calvanio ka kyerɛ Nyan !
Warning Signs	Kɔkɔbɔ Nsɛnkyerɛnne
Less Common Symptoms	Nsɛnkyerɛnne a Wɔntaa Nhu
Coping With Its Effects	Nea Efi Mu Ba Ano a Wobegyina
Treat them with dignity .	Di wɔn ni .
Listen patiently .	Fa boasetɔ tie .
Let’s try again later . ”	Ɛyɛ kakra a , na woaka bio . ”
Caregivers Find Support	Wɔn a Wɔde Ɔhwɛ Ma Nya Mmoa
Facing Severe Limitations	Sintɔ Ahorow a Emu Yɛ Den Ano a Wobegyina
[ Blurb on page 12 ]	[ Asɛm a wɔafa aka wɔ kratafa 12 ]
Stroke Prevention	Yare A Ɛma Nnipa Fã Dwudwo Anosiw
The Bible’s Viewpoint	Bible no Adwene
God’s Original Design	Sɛnea Onyankopɔn Yɛɛ Yɛn
Concern for Others	Afoforo Ho a Yebesusuw
[ Footnote ]	[ Ase hɔ asɛm ]
[ Blurb on page 14 ]	[ Asɛm a wɔafa aka wɔ kratafa 14 ]
[ Blurb on page 15 ]	[ Asɛm a wɔafa aka wɔ kratafa 15 ]
A Russian Girl’s Hope	Russiani Abeawa Bi Anidaso
Page Two	Kratafa Abien
3 - 9	3 - 9
When There Was No Crime	Bere a na Nsɛmmɔnedi Nni Hɔ
Crime Starts Small	Nsɛmmɔnedi Fi Ase Nkakrankakra
Who Are the Criminals ?	Henanom Ne Nsɛmmɔnedifo No ?
[ Footnote ]	[ Ase hɔ asɛm ]
[ Blurb on page 6 ]	[ Asɛm a wɔafa aka wɔ kratafa 6 ]
[ Box on page 5 ]	[ Kratafa 5 adaka ]
Education That Is Needed	Nhomasua a Ehia
“ Be good to yourself . ”	“ Yɛ wo ho yiye . ”
What is needed ?	Dɛn na ehia ?
How a New World Will Come	Sɛnea Wiase Foforo Bɛba
God’s New World Is Near	Onyankopɔn Wiase Foforo no Abɛn
Why can we be so sure ?	Dɛn nti na yebetumi anya awerɛhyem saa ?
[ Picture on page 8 , 9 ]	[ Mfonini wɔ kratafa 8 , 9 ]
An article written by S .	Asɛm bi a S .
Is it a dream ?	So ɛyɛ adaeso ?
Yes .	Yiw .
And yet it exists . ”	Nanso ɛyɛ paara . ”
Pete [ rsburg ] . ”	Pete [ rsburg ] Akyi no Ase . ”
[ Pictures on page 18 ]	[ Kratafa 22 mfonini ahorow ]
The Amazing Neem	Neem Dua a Ɛyɛ Nwonwa
BY AWAKE !	EFI NYAN !
CORRESPONDENT IN NIGERIA	KYERƐWFO A ƆWƆ NIGERIA HƆ
Its Role as a Tree	Dwuma a Edi sɛ Dua
Bugs Hate It	Mmoawammoawa Mpɛ
“ The Village Pharmacy ”	“ Akuraa Adugyebea ”
Insect repellents .	Nnuru a ɛpam nkoekoemmoa .
Dental hygiene .	Ɛsẽ a wodi no ni .
[ Pictures on page 23 ]	[ Kratafa 17 mfonini ahorow ]
A Unique Reconciliation	Nkabom a Ɛyɛ Nwonwa
BY AWAKE !	EFI NYAN !
CORRESPONDENT IN BRITAIN	KYERƐWFO A ƆWƆ BRITAIN HƆ
Where was he ?	Ɛhe na na ɔwɔ ?
What had become of him ?	Dɛn na ayɛ no ?
[ Picture on page 24 ]	[ Kratafa 20 mfonini ]
Bruce , with his mother	Bruce ne ne maame
His Heart Was Touched	Ɛkaa Ne Koma
It was 1984 .	Ná ɛyɛ 1984 .
“ We were dumbfounded .	“ Yɛtɔɔ mum .
[ Picture on page 31 ]	[ Kratafa 29 mfonini ]
Marie is in front	Marie na odi anim no
Young People Ask . . .	Mmofra Bisa Sɛ . . .
What About Racial Pride ?	Obi Abusua a Ofi Mu a Ɔde Hoahoa Ne Ho Nso Ɛ ?
Not necessarily .	Dabida .
Can you make that boast ?	So wubetumi ahoahoa wo ho saa ?
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
The Bible’s Viewpoint	Bible no Adwene
No .	Dabi .
He was a physician .	Ná ɔyɛ oduruyɛfo .
Consider the Pharisees .	Susuw Farisifo no ho .
[ Footnote ]	[ Ase hɔ asɛm ]
[ Blurb on page 20 ]	[ Asɛm a wɔafa aka wɔ kratafa 29 ]
[ Blurb on page 21 ]	[ Asɛm a wɔafa aka wɔ kratafa 28 ]
Watching the World	Wiase Nsɛm
What Babies Hear	Nea Mmofra Te
Mighty Mites	Mmoawa Bi a Wɔn Ho Yɛ Den
Two Are Better Than One	Baanu Ye Sen Obiako
Voice Care	Yɛn Nne a Yɛbɛhwɛ no Yiye
Tracking Tibetan Weather	Wim Tebea a Wɔhwɛ Wɔ Tibet
Ants as Medicine	Ntɛtea a Wɔde Yɛ Nnuru
“ Office Sickness ”	“ Adwumayɛdan Mu Yare ”
Young Brazilian Readers	Brazil Mmofra Akenkanfo
I started sweating .	Mifii ase tee fifiri .
*	*
[ Footnote ]	[ Ase hɔ asɛm ]
An unusual case ?	So eyi yɛ nwonwa ?
Hardly .	Ɛnte saa koraa .
[ Box on page 5 ]	[ Kratafa 5 adaka ]
• allergies	• nneɛma ahorow a ɛhaw nipadua
• arthritis	• ɔkwaha
• asthma	• ntehyewa
• colds	• ɔpakum
• depression	• adwenemhaw
• diarrhea	• ayamtu
• flu	• atiridii
• headaches	• tipae
• heart problems	• komayare
• insomnia	• kɔdaanna
• migraine	• asoroben
• peptic ulcers	• akisikuru
• sexual dysfunction	• Ɔbarima ne ɔbea nna mu mmerɛwyɛ
• skin problems	• honam ani nyarewa
[ Picture on page 6 ]	[ Kratafa 6 mfonini ]
Good Stress , Bad Stress	Adwennwen a Eye ne Nea Enye
Three Kinds of Stress	Adwennwen Ahorow Abiɛsa
Sensitized to Stress	Sɛnea adwennwen Hyɛ Yɛn So
[ Box on page 7 ]	[ Kratafa 19 adaka ]
[ Box on page 8 ]	[ Kratafa 8 adaka ]
[ Picture on page 9 ]	[ Kratafa 9 mfonini ]
[ Picture on page 9 ]	[ Kratafa 9 mfonini ]
Stress Can Be Managed !	Wubetumi Adi Adwennwen So !
Take Care of Yourself	Hwɛ Wo Ho so Yiye
Watch what you eat .	Hwɛ w’aduandi yiye .
Exercise .	Teɛteɛ w’apɔw mu .
Get sufficient sleep .	Da sɛnea ɛfata .
Get organized .	Yɛ nhyehyɛe pa .
Get support .	Hwehwɛ mmoa .
Resolve conflicts .	Siesie ntawntawdi .
Make time for family .	Nya bere ma w’abusua .
Be reasonable .	Nya ntease .
Balance is the key .	Ɛho hia sɛ ɔkari pɛ .
Put Stress in Perspective	Nya Adwennwen Ho Adwempa
Cultivate Spirituality	Nya Honhom Fam Adwene
Pray regularly .	Bɔ mpae daa .
A Sure Hope	Nokware Anidaso
[ Footnote ]	[ Ase hɔ asɛm ]
[ Box on page 12 ]	[ Kratafa 12 adaka ]
Stress and Surgery	Adwennwen ne Oprehyɛnyɛ
Why ?	Dɛn ntia ?
[ Pictures on page 10 ]	[ Kratafa 25 mfonini ahorow ]
[ Pictures on page 11 ]	[ Kratafa 27 mfonini ahorow ]
Rest	Gye w’ahome
Good diet	Di aduan pa
Exercise	Teɛteɛ w’apɔw mu
Do You Grind Your Teeth ?	So Wotwɛre Wo Se ?
In any case , relax !	Sɛnea ɛte biara no , ma wo bo ntɔ wo yam !
[ Footnote ]	[ Ase hɔ asɛm ]
BY AWAKE !	EFI NYAN !
CORRESPONDENT IN KENYA	KYERƐWFO A ƆWƆ KENYA HƆ
Things changed .	Nneɛma sesae .
An Orgy of Poaching	Wowia Wɔn Ho Kum Wɔn Kɛse
Uganda lost 95 percent .	Uganda hweree ɔha biara mu 95 .
Global Ban	Wiase Nyinaa Anohyeto
The opposite happened .	Nanso amma saa .
Ivory Stockpiles	Asonse a Wɔaboa Ano Sum Hɔ
Kenya burns her ivory .	Kenya hyew n’asonse .
Concerns Linger	Ɔhaw Bi Wɔ Hɔ
[ Box on page 16 ]	[ Kratafa 18 adaka ]
About Ivory	Asonse Ho Nsɛm
[ Box on page 19 ]	[ Kratafa 19 adaka ]
About Elephants	Asono Ho Nsɛm
[ Pictures on page 18 ]	[ Kratafa 22 mfonini ahorow ]
Young People Ask . . .	Mmofra Bisa Sɛ . . .
So I don’t even try . ”	Enti menka hwee . ”
Why ?	Dɛn ntia ?
*	*
Why Some Underachieve	Nea Enti a Ebinom Nyere Wɔn Ho
There are other factors .	Nneɛma foforo wɔ hɔ .
Getting Motivated	Nkuranhyɛ a Wubenya
Good Study Habits	Nya Adesua Ho Su Pa
Keep a Positive Attitude	Nya Adwempa
What are your strengths ?	Nneɛma bɛn na wobɔ mu mmɔden ?
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 21 ]	[ Kratafa 17 mfonini ]
[ Picture on page 22 ]	[ Kratafa 18 mfonini ]
Water and Your Health	Nsu ne W’akwahosan
How much is needed ?	Dodow ahe na yehia ?
Why ?	Dɛn ntia ?
Page Two	Kratafa Abien
3 - 14	3 - 14
Are Demons Real ?	
18	24
Do demons exist ?	
What does the Bible say ?	Dɛn na Bible no ka ?
Courtesy Dr .	Courtesy Dr .
Tony Preen	Tony Preen
Why ?	Dɛn ntia ?
Smaller Share	Kyɛfa Kakraa Bi na Wonya
Mothers and Providers	Ɛnanom ne Ahwɛfo
[ Footnote ]	[ Ase hɔ asɛm ]
Names have been changed .	Wɔasesa edin ahorow no .
[ Picture ]	[ Mfonini ]
Women as Breadwinners	Mmea a Wɔbɔ Akɔnhama
Mothers and Teachers	Ɛnanom ne Akyerɛkyerɛfo
Compassion Sorely Needed	Wohia Tema Kɛse
The forest was saved .	Wɔbɔɔ kwae no ho ban .
Education .	Nhomasua .
*	*
Health .	Akwahosan .
*	*
Hygiene .	Ahotew .
*	*
[ Footnotes ]	[ Ase hɔ asɛm ]
[ Picture on page 8 ]	[ Kratafa 9 mfonini ]
[ Picture on page 8 , 9 ]	[ Mfonini wɔ kratafa 8 , 9 ]
[ Credit Line ]	[ Asɛm Fibea ]
Godo - Foto	Godo - Foto
[ Picture on page 9 ]	[ Kratafa 9 mfonini ]
God’s Concern for Women	Sɛnea Onyankopɔn Dwen Mmea Ho
A Permanent Solution	Ano Aduru Koraa
[ Picture on page 13 ]	[ Kratafa 13 mfonini ]
No .	Dabi .
The Bible’s Viewpoint	Bible no Adwene
Are Demons Real ?	
A Relaxed Attitude	Nneyɛe a Wɔagow Mu
Are demons real ?	So adaemone wɔ hɔ ankasa ?
Why ?	Dɛn ntia ?
Evil Deceivers	Nnaadaafo Amumɔyɛfo
The Devil is a deceiver .	Ɔbonsam yɛ ɔdaadaafo .
The demons are real .	Adaemone wɔ hɔ ankasa .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Sipa Icono	Sipa Icono
And that is what we did .	Na saa ara na yɛyɛe .
Our lives were simple .	Na yɛn asetra ba fam .
What should I do ?	Menyɛ dɛn ?
Where should I go ?	Ɛhe na menkɔ ?
I just could not think .	Na minhu nea menyɛ ankasa .
Keeping My Joy	M’anigye a Mekura Mu
Lessons I Have Learned	Asuade a Manya
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
Page Two	Kratafa Abien
Why are they that small ?	12 So adaemone wɔ hɔ ?
The Plague Spreads	Ɔhaw no Trɛw
An Awake !	Nyan !
O Estado de S .	Brazil atesɛm krataa O Estado de S .
A Heartrending Plague	Awerɛhosɛm a Emu Yɛ Den
Scott Olson / Sipa Press	Scott Olson / Sipa Press
Why They Join Gangs	Nea Enti a Wɔde Wɔn Ho Hyɛ Basabasayɛ Kuw mu
It’s Hard to Get Out	Ɛyɛ Den sɛ Wobefi Mu
A Better Life Possible	Wobetumi Anya Asetra Pa
Does this really happen ?	So eyi tumi si ankasa ?
Indeed it does !	Yiw , etumi si !
Yes , it is !	Yiw , mfaso wɔ so !
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
Taking Precautions Vital	Ahwɛyiye a Yɛbɛyɛ
Providing What They Need	Nea Wohia a Yɛde Bɛma Wɔn
But they do .	Nanso ebi wɔ hɔ .
[ Picture on page 9 ]	[ Kratafa 9 mfonini ]
By Awake !	Efi Nyan !
Young People Ask . . .	Mmofra Bisa Sɛ . . .
Why ?	Dɛn ntia ?
“ Widen Out ”	‘ Trɛw Mu ’
We were inseparable .	Ná mframa mfa yɛn ntam koraa .
The result ?	Dɛn na efi mu bae ?
[ Picture on page 18 ]	[ Kratafa 16 mfonini ]
Watching the World	Wiase Nsɛm
Expensive Drug Habit	Ka Kɛse a Wɔbɔ Wɔ Nnubɔne Ho
Forgotten Law	Mmara a Nnipa Werɛ Afi
Careful Copyists	Akyerɛwfo a Wɔyɛ Ahwɛyiye
Is It Really Decaf ?	So Ɛyɛ Kafe a Wɔayi mu Nnuru Ankasa ?
The U.S .	U.S .
Worldwide Deforestation	Kwae a Wɔsɛe no Wɔ Wiase Nyinaa
O Estado de S .	Brazil atesɛm krataa O Estado de S .
Treasures Stolen	Agyapade a Wɔawia
Destructive Weevils	Wudwen Sika Ho ?
Why ?	Dɛn ntia ?
magazine .	nsɛmma nhoma no mu nsɛm a ɛba wɔ ne bere mu no ho .
This can’t be happening .	Eyi ntumi nyɛ nokware .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
in her school classes .	mu nsɛm bɛkyerɛ ne sukuufo ade .
She explained :	Ɔkyerɛkyerɛɛ mu sɛ :
“ I feel that Awake !	“ Mete nka sɛ Nyan !
AS TOLD BY WATHANA MEAS	SƐNEA WATHANA MEAS KA KYERƐE
*	*
My Buddhist Background	Buddhasom mu Ntetee a Minyae
More than 700 men died .	Nnipa bɛboro 700 wuwui .
But I got out alive .	Nanso manwu .
Guns were everywhere .	Na atuo wɔ baabiara .
Pol Pot and the Purge	Pol Pot ne Nnipa Asetɔre
It was dangerous .	Na ɛyɛ hu .
Finally , success !	Awiei koraa no , wonyaa obi !
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
A Scary Visit	Nsrahwɛ Bi a Ɛyɛ Hu
magazines .	nsɛmma nhoma no brɛ me .
It was a slow process .	Na ɛyɛ nkakrankakra .
[ Footnote ]	[ Ase hɔ asɛm ]
VIETNAM	VIETNAM
LAOS	LAOS
THAILAND	THAILAND
CAMBODIA	CAMBODIA
Battambang	Battambang
Phnom Penh	Phnom Penh
[ Credit Line ]	[ Asɛm Fibea ]
